Row_no,Sample_ID,Petro_no,Analysis_no,Spot_no,Distance_no,Distance_um,Tag,Age,Sr8786,Sr8786_norm,SE1,SE2,SrV,Spot_size_um,Rep_rate_hz,Dwell_time_sec,Power_percent,Analysis_date,Analysis_time
156,WEM0401053,WEM4,1,26,26,1043.447,,,0.70769467,0.707803401,6.85E-05,0.000137047,2.08383495,40,10,25,77,9/7/2022,12:05 AM
157,WEM0401053,WEM4,1,27,27,1080.6,,,0.707826763,0.707935515,4.46E-05,8.92E-05,2.181188977,40,10,25,77,9/7/2022,12:05 AM
158,WEM0401053,WEM4,1,28,28,1123.189,,,0.707582712,0.707691426,7.59E-05,0.000151833,2.393955399,40,10,25,77,9/7/2022,12:05 AM
159,WEM0401053,WEM4,1,29,29,1162.607,,,0.707791066,0.707899813,7.70E-05,0.00015406,2.318868648,40,10,25,77,9/7/2022,12:05 AM
160,WEM0401053,WEM4,1,30,30,1189.339,,,0.70770904,0.707817774,0.000108812,0.000217623,2.118976167,40,10,25,77,9/7/2022,12:05 AM
161,WEM0401053,WEM4,1,31,31,1215.165,,,0.707734622,0.70784336,0.000111073,0.000222146,2.094880178,40,10,25,77,9/7/2022,12:05 AM
162,WEM0401053,WEM4,1,32,32,1244.162,,,0.707932848,0.708041616,9.81E-05,0.000196238,2.348487757,40,10,25,77,9/7/2022,12:05 AM
164,WEM0401053,WEM4,1,34,34,1303.063,,,0.707872951,0.70798171,8.57E-05,0.00017142,2.131218184,40,10,25,77,9/7/2022,12:05 AM
165,WEM0401053,WEM4,1,35,35,1339.762,,,0.707639664,0.707748387,7.24E-05,0.000144862,2.035894472,40,10,25,77,9/7/2022,12:05 AM
166,WEM0401053,WEM4,1,36,36,1379.634,age 2,,0.707753084,0.707861825,6.16E-05,0.000123223,2.089868344,40,10,25,77,9/7/2022,12:05 AM
167,WEM0401053,WEM4,1,37,37,1403.647,,,0.707888578,0.707997339,4.88E-05,9.76E-05,2.847067822,40,10,25,77,9/7/2022,12:05 AM
168,WEM0401053,WEM4,1,38,38,1434.003,,,0.707713332,0.707822067,7.92E-05,0.000158418,2.58373671,40,10,25,77,9/7/2022,12:05 AM
169,WEM0401053,WEM4,1,39,39,1461.188,,,0.707802575,0.707911323,0.000113805,0.00022761,2.90525388,40,10,25,77,9/7/2022,12:05 AM
170,WEM0401053,WEM4,1,40,40,1483.389,,,0.707903383,0.708012146,7.24E-05,0.000144807,3.295885981,40,10,25,77,9/7/2022,12:05 AM
171,WEM0401053,WEM4,1,41,41,1519.636,,,0.707783595,0.707892341,7.17E-05,0.000143448,3.236275004,40,10,25,77,9/7/2022,12:05 AM
172,WEM0401053,WEM4,1,42,42,1566.756,,,0.707906257,0.708015022,7.30E-05,0.000146028,3.048021042,40,10,25,77,9/7/2022,12:05 AM
173,WEM0401053,WEM4,1,43,43,1635.172,,,0.707815651,0.707924402,5.91E-05,0.000118227,3.779459197,40,10,25,77,9/7/2022,12:05 AM
174,WEM0401053,WEM4,1,44,44,1667.34,,,0.708026648,0.708135431,6.59E-05,0.000131755,3.640112539,40,10,25,77,9/7/2022,12:05 AM
175,WEM0401053,WEM4,1,45,45,1706.305,,,0.707834063,0.707942816,6.85E-05,0.000137005,3.412263577,40,10,25,77,9/7/2022,12:05 AM
176,WEM0401053,WEM4,1,46,46,1742.552,,,0.707847999,0.707956754,7.89E-05,0.000157897,2.892784546,40,10,25,77,9/7/2022,12:05 AM
177,WEM0401053,WEM4,1,47,47,1781.064,,,0.707756541,0.707865282,5.91E-05,0.000118286,3.680506289,40,10,25,77,9/7/2022,12:05 AM
178,WEM0401053,WEM4,1,48,48,1810.967,,,0.707824175,0.707932927,8.03E-05,0.000160595,3.512624581,40,10,25,77,9/7/2022,12:05 AM
179,WEM0401053,WEM4,1,49,49,1854.463,age 3,,0.707774229,0.707882973,6.83E-05,0.000136618,3.035454547,40,10,25,77,9/7/2022,12:05 AM
180,WEM0401053,WEM4,1,50,50,1894.334,,,0.70779913,0.707907878,6.29E-05,0.000125824,3.717377706,40,10,25,77,9/7/2022,12:05 AM
181,WEM0401053,WEM4,1,51,51,1950.969,,,0.70778145,0.707890195,2.58E-05,5.15E-05,3.818505216,40,10,25,77,9/7/2022,12:05 AM
182,WEM0401053,WEM4,1,52,52,1983.138,,,0.707844032,0.707952787,6.61E-05,0.000132235,4.088947202,40,10,25,77,9/7/2022,12:05 AM
183,WEM0401053,WEM4,1,53,53,2007.605,,,0.707914352,0.708023117,4.40E-05,8.79E-05,4.013038197,40,10,25,77,9/7/2022,12:05 AM
184,WEM0401053,WEM4,1,54,54,2059.709,,,0.707840808,0.707949563,5.26E-05,0.000105296,3.870145363,40,10,25,77,9/7/2022,12:05 AM
185,WEM0401053,WEM4,1,55,55,2099.127,,,0.707888323,0.707997085,3.00E-05,6.00E-05,4.307925049,40,10,25,77,9/7/2022,12:05 AM
186,WEM0401053,WEM4,1,56,56,2135.374,,,0.707887004,0.707995766,5.06E-05,0.000101192,4.505066136,40,10,25,77,9/7/2022,12:05 AM
187,WEM0401053,WEM4,1,57,57,2189.29,,,0.707938059,0.708046828,6.00E-05,0.000119916,4.122844891,40,10,25,77,9/7/2022,12:05 AM
188,WEM0401053,WEM4,1,58,58,2223.271,,,0.707826577,0.70793533,4.16E-05,8.32E-05,4.781175448,40,10,25,77,9/7/2022,12:05 AM
189,WEM0401053,WEM4,1,59,59,2274.47,age 4,,0.707853773,0.707962529,4.98E-05,9.96E-05,5.173483828,40,10,25,77,9/7/2022,12:05 AM
190,WEM0401053,WEM4,1,60,60,2315.247,,,0.708053352,0.708162139,4.31E-05,8.62E-05,5.127368315,40,10,25,77,9/7/2022,12:05 AM
191,WEM0401053,WEM4,1,61,61,2352.853,,,0.707802328,0.707911076,3.84E-05,7.67E-05,4.235589441,40,10,25,77,9/7/2022,12:05 AM
192,WEM0401053,WEM4,1,62,62,2399.067,,,0.707746928,0.707855668,4.77E-05,9.54E-05,5.336485251,40,10,25,77,9/7/2022,12:05 AM
193,WEM0401053,WEM4,1,63,63,2440.751,,,0.70785304,0.707961796,3.21E-05,6.43E-05,5.510443843,40,10,25,77,9/7/2022,12:05 AM
194,WEM0401053,WEM4,1,64,64,2489.683,age 5,,0.707810411,0.70791916,5.71E-05,0.000114181,5.185886019,40,10,25,77,9/7/2022,12:05 AM
195,WEM0401053,WEM4,1,65,65,2540.429,,,0.707891285,0.708000047,4.85E-05,9.71E-05,5.52131307,40,10,25,77,9/7/2022,12:05 AM
,,Seabass_std,,Ocean1,,,,,0.709109442,,4.32E-05,8.63E-05,3.820111427,40,10,25,77,9/7/2022,12:39 AM
,,Seabass_std,,Ocean2,,0.709071057,,,0.709020128,,6.74E-05,0.000134893,3.778457041,40,10,25,77,9/7/2022,12:39 AM
,,Seabass_std,,Ocean3,,4.46E-05,,,0.709121663,,3.80E-05,7.60E-05,3.668274851,40,10,25,77,9/7/2022,12:39 AM
