"Specimen Number","Species ID","Group","Family","Scientific Name","Common Name","Country","State","County","Locality","Latitude","Longitude","Source","Accuracy","Drainage Name","HUC 8 Number","Year","Month","Day","Status","Comments","record_type","disposal","Museum_Cat_No","fresh_marine_intro","Reference 1","Type 1","Date 1","Author 1","Title 1","Publisher 1","Location 1","Reference 2","Type 2","Date 2","Author 2","Title 2","Publisher 2","Location 2","Reference 3","Type 3","Date 3","Author 3","Title 3","Publisher 3","Location 3","Reference 4","Type 4","Date 4","Author 4","Title 4","Publisher 4","Location 4","Reference 5","Type 5","Date 5","Author 5","Title 5","Publisher 5","Location 5","Reference 6","Type 6","Date 6","Author 6","Title 6","Publisher 6","Location 6"
"34690","831","Fishes","Percidae","Sander vitreus","Walleye","United States of America","KY","Hardin","Rough River","37.619195","-86.214609","Map derived","Accurate","Rough","05110004","1986","","","established","","Literature","","","Freshwater","82","Book","1986","Burr, B.M., and M.L. Warren, Jr.","A distributional atlas of Kentucky fishes. Scientific and Technical Series No. 4.","Kentucky State Nature Preserves Commission","Frankfort, KY","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"34813","831","Fishes","Percidae","Sander vitreus","Walleye","United States of America","LA","De Soto","Toledo Bend Reservoir","31.860355","-93.880577","Map derived","Approximate","Toledo Bend Reservoir","12010004","1974","","","failed","failed (Scott Longman, pers.comm. 2006)","Literature","","","Freshwater","68","Book","1974","Douglas, N.H.","Freshwater fishes of Louisiana.","Claitor's Publishing Division","Baton Rouge, LA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1406534","831","Fishes","Percidae","Sander vitreus","Walleye","United States of America","LA","Pointe Coupee","Mississippi River Mile 280.4 at Gosline Island 6 miles west of Pleasant Hill","30.76528","-91.59389","reported","Accurate","Lower Mississippi-Baton Rouge","08070100","1997","8","7","established","Data from GBIF data index - original values","Specimen","Florida Museum of Natural History ichthyology collection","UF 147676","Freshwater","26212","Database","2013","GBIF","Global Biodiversity Information Facility (GBIF) Database.","Global Biodiversity Information Facility","","25899","Database","2013","Florida Museum of Natural History","Florida Museum of Natural History ichthyology collection. Accessed through GBIF data portal, <a href=""http://www.gbif.org/dataset/eccf4b09-f0c8-462d-a48c-41a7ce36815a"" target=""_blank"">http://www.gbif.org/dataset/eccf4b09-f0c8-462d-a48c-41a7ce36815a</a>","Florida Museum of Natural History","Gainesville, FL","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"34812","831","Fishes","Percidae","Sander vitreus","Walleye","United States of America","LA","Sabine","Toledo Bend Reservoir","31.76437","-93.808136","Map derived","Approximate","Toledo Bend Reservoir","12010004","1974","","","failed","failed (Scott Longman, pers.comm. 2006)","Literature","","","Freshwater","68","Book","1974","Douglas, N.H.","Freshwater fishes of Louisiana.","Claitor's Publishing Division","Baton Rouge, LA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"34808","831","Fishes","Percidae","Sander vitreus","Walleye","United States of America","LA","Union","Lake D'Arbonne","32.737617","-92.377167","Map derived","Accurate","Bayou D'Arbonne","08040206","1974","","","failed","failed (Scott Longman, pers.comm. 2006)","Literature","","","Freshwater","68","Book","1974","Douglas, N.H.","Freshwater fishes of Louisiana.","Claitor's Publishing Division","Baton Rouge, LA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"34809","831","Fishes","Percidae","Sander vitreus","Walleye","United States of America","LA","Union","Lake D'Arbonne","32.737617","-92.377167","Map derived","Accurate","Bayou D'Arbonne","08040206","1974","","","failed","failed (Scott Longman, pers.comm. 2006)","Literature","","","Freshwater","68","Book","1974","Douglas, N.H.","Freshwater fishes of Louisiana.","Claitor's Publishing Division","Baton Rouge, LA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"34810","831","Fishes","Percidae","Sander vitreus","Walleye","United States of America","LA","Union","Ouachita River, approximately 6.4 km (4 mil) N of mouth of Bayou Bartholomew","32.734007","-92.069464","Map derived","Accurate","Lower Ouachita-Bayou De Loutre","08040202","1974","","","failed","only one specimen ever taken","Literature","","","Freshwater","68","Book","1974","Douglas, N.H.","Freshwater fishes of Louisiana.","Claitor's Publishing Division","Baton Rouge, LA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1406535","831","Fishes","Percidae","Sander vitreus","Walleye","United States of America","LA","West Baton Rouge","Mississippi River Mile 253.0 at Gilead Slough","30.61887","-91.30122","reported","Accurate","Lower Mississippi-Baton Rouge","08070100","1997","8","6","established","Data from GBIF data index - original values","Specimen","Florida Museum of Natural History ichthyology collection","UF 149629","Freshwater","26212","Database","2013","GBIF","Global Biodiversity Information Facility (GBIF) Database.","Global Biodiversity Information Facility","","25899","Database","2013","Florida Museum of Natural History","Florida Museum of Natural History ichthyology collection. Accessed through GBIF data portal, <a href=""http://www.gbif.org/dataset/eccf4b09-f0c8-462d-a48c-41a7ce36815a"" target=""_blank"">http://www.gbif.org/dataset/eccf4b09-f0c8-462d-a48c-41a7ce36815a</a>","Florida Museum of Natural History","Gainesville, FL","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"34954","831","Fishes","Percidae","Sander vitreus","Walleye","United States of America","MA","","Taunton-Nemasket River","41.781809","-71.118622","Map derived","Approximate","Narragansett","01090004","1992","","","established","recently stocked; still present in 2002","Literature","","","Freshwater","103","Journal Article","1992","Hartel, K.E.","Non-native fishes known from Massachusetts freshwaters.","","","704","Book","1993","Cardoza, J.E., G.S. Jones, T.W. French, and D.B. Halliwell.","Exotic and translocated vertebrates of Massachusetts. Fauna of Massachusetts Series No. 6.","Massachusetts Division of Fisheries and Wildlife","Westborough, MA","16076","Book","2002","Hartel, K.E., D.B. Halliwell, and A.E. Launer.","Inland fishes of Massachusetts.","Massachusetts Audubon Society","Lincoln, MA","","","","","","","","","","","","","","","","","","","","",""
"34922","831","Fishes","Percidae","Sander vitreus","Walleye","United States of America","MA","","Connecticut River","42.397311","-72.579533","GNIS","Approximate","Ashuelot River-Connecticut River","01080201","1992","","","established","","Literature","","","Freshwater","103","Journal Article","1992","Hartel, K.E.","Non-native fishes known from Massachusetts freshwaters.","","","704","Book","1993","Cardoza, J.E., G.S. Jones, T.W. French, and D.B. Halliwell.","Exotic and translocated vertebrates of Massachusetts. Fauna of Massachusetts Series No. 6.","Massachusetts Division of Fisheries and Wildlife","Westborough, MA","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
