"Specimen Number","Species ID","Group","Family","Scientific Name","Common Name","Country","State","County","Locality","Latitude","Longitude","Source","Accuracy","Drainage Name","HUC 8 Number","Year","Month","Day","Status","Comments","record_type","disposal","Museum_Cat_No","fresh_marine_intro","Reference 1","Type 1","Date 1","Author 1","Title 1","Publisher 1","Location 1","Reference 2","Type 2","Date 2","Author 2","Title 2","Publisher 2","Location 2","Reference 3","Type 3","Date 3","Author 3","Title 3","Publisher 3","Location 3","Reference 4","Type 4","Date 4","Author 4","Title 4","Publisher 4","Location 4","Reference 5","Type 5","Date 5","Author 5","Title 5","Publisher 5","Location 5","Reference 6","Type 6","Date 6","Author 6","Title 6","Publisher 6","Location 6"
"1403773","831","Fishes","Percidae","Sander vitreus","Walleye","United States of America","","","Upper Cumberland (HUC8) non-specific","36.782272473839","-83.8449100512637","Calculated by GIS","Centroid","Upper Cumberland","05130101","1986","","","established","from Stizostedion","Literature","","","Freshwater","82","Book","1986","Burr, B.M., and M.L. Warren, Jr.","A distributional atlas of Kentucky fishes. Scientific and Technical Series No. 4.","Kentucky State Nature Preserves Commission","Frankfort, KY","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1406523","831","Fishes","Percidae","Sander vitreus","Walleye","United States of America","AL","Tallapoosa","Black Warrior R., Near Eutaw, River mile 55","32.84417","-85.83361","reported","Accurate","Middle Tallapoosa","03150109","1953","7","30","established","Data from GBIF data index - original values","Specimen","AUM Fish Collection","AUM 9323","Freshwater","26212","Database","2013","GBIF","Global Biodiversity Information Facility (GBIF) Database.","Global Biodiversity Information Facility","","28090","Database","2014","Auburn University Museum","AUM Fish Collection","Auburn University","Auburn, AL","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1406529","831","Fishes","Percidae","Sander vitreus","Walleye","United States of America","AL","Walker","Carbon Hill Hatchery, spawned in Ohio","33.89167","-87.52611","reported","Accurate","Mulberry","03160109","1981","5","7","established","Data from GBIF data index - original values","Specimen","AUM Fish Collection","AUM 20997","Freshwater","26212","Database","2013","GBIF","Global Biodiversity Information Facility (GBIF) Database.","Global Biodiversity Information Facility","","28090","Database","2014","Auburn University Museum","AUM Fish Collection","Auburn University","Auburn, AL","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1403771","831","Fishes","Percidae","Sander vitreus","Walleye","United States of America","AR","","Beaver Reservoir drainage","36.218","-93.7","Calculated by GIS","Centroid","Beaver Reservoir","11010001","1988","","","established","from Stizostedion","Literature","","","Freshwater","716","Book","1988","Robison, H.W., and T.M. Buchanan","Fishes of Arkansas.","University of Arkansas Press","Fayetteville, AR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"27302","831","Fishes","Percidae","Sander vitreus","Walleye","United States of America","AR","Ashley","lower Saline drainage","33.296099","-91.924324","Map derived","Approximate","Lower Saline","08040204","1988","8","","established","","Literature","","","Freshwater","716","Book","1988","Robison, H.W., and T.M. Buchanan","Fishes of Arkansas.","University of Arkansas Press","Fayetteville, AR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"26612","831","Fishes","Percidae","Sander vitreus","Walleye","United States of America","AR","Benton","Beaver Reservoir","36.364351","-93.876114","Map derived","Accurate","Beaver Reservoir","11010001","1976","","","established","","Literature","","","Freshwater","30","Journal Article","1976","Pritchard, D.L., O.D. May, Jr., and L. Rider","Stocking of predators in the predator-stocking-evaluation reservoirs.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"27326","831","Fishes","Percidae","Sander vitreus","Walleye","United States of America","AR","Clark","Ouachita River","34.124808","-93.048148","Map derived","Accurate","Upper Ouachita","08040102","1988","8","","established","","Literature","","","Freshwater","716","Book","1988","Robison, H.W., and T.M. Buchanan","Fishes of Arkansas.","University of Arkansas Press","Fayetteville, AR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"27303","831","Fishes","Percidae","Sander vitreus","Walleye","United States of America","AR","Cleveland","Saline River","33.897492","-92.234001","Map derived","Accurate","Lower Saline","08040204","1988","8","","established","","Literature","","","Freshwater","716","Book","1988","Robison, H.W., and T.M. Buchanan","Fishes of Arkansas.","University of Arkansas Press","Fayetteville, AR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"27310","831","Fishes","Percidae","Sander vitreus","Walleye","United States of America","AR","Crawford","Lake Fort Smith","35.6434169","-94.133537","Map derived","Accurate","Frog-Mulberry","11110201","1950","","","unknown","pre-1960","Literature","","","Freshwater","716","Book","1988","Robison, H.W., and T.M. Buchanan","Fishes of Arkansas.","University of Arkansas Press","Fayetteville, AR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"27309","831","Fishes","Percidae","Sander vitreus","Walleye","United States of America","AR","Crawford","Lee Creek","35.453119","-94.381313","Map derived","Accurate","Robert S. Kerr Reservoir","11110104","1950","","","unknown","pre-1960","Literature","","","Freshwater","716","Book","1988","Robison, H.W., and T.M. Buchanan","Fishes of Arkansas.","University of Arkansas Press","Fayetteville, AR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"27324","831","Fishes","Percidae","Sander vitreus","Walleye","United States of America","AR","Garland","Lake Catherine","34.457739","-92.971802","Map derived","Accurate","Ouachita Headwaters","08040101","1950","","","established","pre-1960","Literature","","","Freshwater","716","Book","1988","Robison, H.W., and T.M. Buchanan","Fishes of Arkansas.","University of Arkansas Press","Fayetteville, AR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"27321","831","Fishes","Percidae","Sander vitreus","Walleye","United States of America","AR","Garland","Lake Hamilton","34.442168","-93.029308","Map derived","Accurate","Ouachita Headwaters","08040101","1950","","","established","pre-1960","Literature","","","Freshwater","716","Book","1988","Robison, H.W., and T.M. Buchanan","Fishes of Arkansas.","University of Arkansas Press","Fayetteville, AR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"27323","831","Fishes","Percidae","Sander vitreus","Walleye","United States of America","AR","Garland","Mazarn Creek","34.476137","-93.158741","Map derived","Accurate","Ouachita Headwaters","08040101","1988","8","","established","","Literature","","","Freshwater","716","Book","1988","Robison, H.W., and T.M. Buchanan","Fishes of Arkansas.","University of Arkansas Press","Fayetteville, AR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"27322","831","Fishes","Percidae","Sander vitreus","Walleye","United States of America","AR","Garland","Lake Hamilton","34.442168","-93.029308","Map derived","Accurate","Ouachita Headwaters","08040101","1988","8","","established","","Literature","","","Freshwater","716","Book","1988","Robison, H.W., and T.M. Buchanan","Fishes of Arkansas.","University of Arkansas Press","Fayetteville, AR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"27320","831","Fishes","Percidae","Sander vitreus","Walleye","United States of America","AR","Garland","Lake Ouachita","34.595063","-93.241653","Map derived","Accurate","Ouachita Headwaters","08040101","1988","8","","established","","Literature","","","Freshwater","716","Book","1988","Robison, H.W., and T.M. Buchanan","Fishes of Arkansas.","University of Arkansas Press","Fayetteville, AR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"27311","831","Fishes","Percidae","Sander vitreus","Walleye","United States of America","AR","Grant","Saline River","34.239586","-92.564793","Map derived","Accurate","Upper Saline","08040203","1988","8","","established","","Literature","","","Freshwater","716","Book","1988","Robison, H.W., and T.M. Buchanan","Fishes of Arkansas.","University of Arkansas Press","Fayetteville, AR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"27325","831","Fishes","Percidae","Sander vitreus","Walleye","United States of America","AR","Hot Spring","Ouachita River","34.214659","-92.998002","Map derived","Accurate","Upper Ouachita","08040102","1988","8","","established","","Literature","","","Freshwater","716","Book","1988","Robison, H.W., and T.M. Buchanan","Fishes of Arkansas.","University of Arkansas Press","Fayetteville, AR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"27316","831","Fishes","Percidae","Sander vitreus","Walleye","United States of America","AR","Hot Spring","De Gray Reservoir","34.247","-93.140717","Map derived","Accurate","Upper Ouachita","08040102","1988","8","","established","","Literature","","","Freshwater","716","Book","1988","Robison, H.W., and T.M. Buchanan","Fishes of Arkansas.","University of Arkansas Press","Fayetteville, AR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"27313","831","Fishes","Percidae","Sander vitreus","Walleye","United States of America","AR","Howard","Gillham Reservoir","34.214357","-94.220982","Map derived","Accurate","Lower Little Arkansas, Oklahoma","11140109","1988","8","","stocked","","Literature","","","Freshwater","716","Book","1988","Robison, H.W., and T.M. Buchanan","Fishes of Arkansas.","University of Arkansas Press","Fayetteville, AR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"27301","831","Fishes","Percidae","Sander vitreus","Walleye","United States of America","AR","Johnson","Arkansas River at Dardanelle Reservoir","35.339774","-93.397522","Map derived","Accurate","Dardanelle Reservoir","11110202","1988","8","","unknown","","Literature","","","Freshwater","716","Book","1988","Robison, H.W., and T.M. Buchanan","Fishes of Arkansas.","University of Arkansas Press","Fayetteville, AR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"27300","831","Fishes","Percidae","Sander vitreus","Walleye","United States of America","AR","Logan","Blue Mountain Lake","35.104462","-93.730373","Map derived","Accurate","Petit Jean","11110204","1988","8","","unknown","","Literature","","","Freshwater","716","Book","1988","Robison, H.W., and T.M. Buchanan","Fishes of Arkansas.","University of Arkansas Press","Fayetteville, AR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"26613","831","Fishes","Percidae","Sander vitreus","Walleye","United States of America","AR","Marion","Bull Shoals Lake Reservoir","36.485901","-92.881165","Map derived","Accurate","Bull Shoals Lake","11010003","1976","","","established","","Literature","","","Freshwater","30","Journal Article","1976","Pritchard, D.L., O.D. May, Jr., and L. Rider","Stocking of predators in the predator-stocking-evaluation reservoirs.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"27319","831","Fishes","Percidae","Sander vitreus","Walleye","United States of America","AR","Montgomery","Muddy Creek","34.6762057","-93.500191","Map derived","Accurate","Ouachita Headwaters","08040101","1988","8","","established","","Literature","","","Freshwater","716","Book","1988","Robison, H.W., and T.M. Buchanan","Fishes of Arkansas.","University of Arkansas Press","Fayetteville, AR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"27318","831","Fishes","Percidae","Sander vitreus","Walleye","United States of America","AR","Montgomery","Lake Ouachita","34.598172","-93.412628","Map derived","Accurate","Ouachita Headwaters","08040101","1950","","","established","pre-1960","Literature","","","Freshwater","716","Book","1988","Robison, H.W., and T.M. Buchanan","Fishes of Arkansas.","University of Arkansas Press","Fayetteville, AR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"27317","831","Fishes","Percidae","Sander vitreus","Walleye","United States of America","AR","Montgomery","Ouachita River","34.616363","-93.731618","Map derived","Accurate","Ouachita Headwaters","08040101","1950","","","established","pre-1960","Literature","","","Freshwater","716","Book","1988","Robison, H.W., and T.M. Buchanan","Fishes of Arkansas.","University of Arkansas Press","Fayetteville, AR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"27315","831","Fishes","Percidae","Sander vitreus","Walleye","United States of America","AR","Pike","Lake Greeson","34.154432","-93.721275","Map derived","Accurate","Little Missouri","08040103","1988","8","","established","","Literature","","","Freshwater","716","Book","1988","Robison, H.W., and T.M. Buchanan","Fishes of Arkansas.","University of Arkansas Press","Fayetteville, AR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"27314","831","Fishes","Percidae","Sander vitreus","Walleye","United States of America","AR","Pike","Little Missouri River","34.105444","-93.714044","Map derived","Accurate","Little Missouri","08040103","1988","8","","established","","Literature","","","Freshwater","716","Book","1988","Robison, H.W., and T.M. Buchanan","Fishes of Arkansas.","University of Arkansas Press","Fayetteville, AR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"26614","831","Fishes","Percidae","Sander vitreus","Walleye","United States of America","AR","Pike","Lake Greeson","34.154432","-93.721275","Map derived","Accurate","Little Missouri","08040103","1976","","","established","","Literature","","","Freshwater","30","Journal Article","1976","Pritchard, D.L., O.D. May, Jr., and L. Rider","Stocking of predators in the predator-stocking-evaluation reservoirs.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"27312","831","Fishes","Percidae","Sander vitreus","Walleye","United States of America","AR","Saline","Saline River","34.595363","-92.607129","Map derived","Accurate","Upper Saline","08040203","1988","8","","established","","Literature","","","Freshwater","716","Book","1988","Robison, H.W., and T.M. Buchanan","Fishes of Arkansas.","University of Arkansas Press","Fayetteville, AR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"27299","831","Fishes","Percidae","Sander vitreus","Walleye","United States of America","AR","Yell","Wimrod Lake","34.951242","-93.249207","Map derived","Accurate","Fourche La Fave","11110206","1988","8","","unknown","","Literature","","","Freshwater","716","Book","1988","Robison, H.W., and T.M. Buchanan","Fishes of Arkansas.","University of Arkansas Press","Fayetteville, AR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"27558","831","Fishes","Percidae","Sander vitreus","Walleye","United States of America","AZ","","state non-specific","34.29323","-111.66459","Calculated by GIS","Centroid","Lower Colorado Region","15000000","1965","","","established","","Literature","","","Freshwater","109","Book","1973","Minckley, W.L.","Fishes of Arizona.","Arizona Fish and Game Department","Phoenix, AZ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"27911","831","Fishes","Percidae","Sander vitreus","Walleye","United States of America","AZ","","state non-specific","34.29323","-111.66459","Calculated by GIS","Centroid","Lower Colorado Region","15000000","1965","","","established","first stocked 1960s, established","Literature","","","Freshwater","1385","Conference Proceedings","1995","Rinne, J.N.","The effects of introduced fishes on native fishes: Arizona, Southwestern United States.","Oxford & IBH Publishing Company","New Delhi, India","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"295559","831","Fishes","Percidae","Sander vitreus","Walleye","United States of America","AZ","","Gila River Basin","0","0","Calculated by GIS","Centroid","","","2004","","","established","","Literature","","","Freshwater","25717","Report","2004","Bureau of Reclamation.","Final Environmental Assessment, Native Fish Restoration in Fossil Creek, Coconino and Tonto National Forests, Arizona.","Bureau of Reclamation.","Phoenix, AZ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"164848","831","Fishes","Percidae","Sander vitreus","Walleye","United States of America","AZ","","upper Colorado River basin","36.319551","-112.78564","Map derived","Approximate","Grand Canyon","15010002","1880","","","established","","Literature","","","Freshwater","808","Report","1980","Behnke, R.J., and D.E. Benson.","Endangered and threatened fishes of the upper Colorado River basin.","Cooperative Extension Service, Colorado State University, Ft Collins, CO.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"167425","831","Fishes","Percidae","Sander vitreus","Walleye","United States of America","AZ","Apache","Lyman Lake","34.3569","-109.357","GNIS","Accurate","Little Colorado Headwaters","15020001","2001","","","established","","Literature","","","Freshwater","21031","Other","2001","DeLorme.","Arizona Atlas and Gazetteer.","DeLorme, Yarmouth, Maine.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"167516","831","Fishes","Percidae","Sander vitreus","Walleye","United States of America","AZ","Coconino","Soldier Annex Lake","34.7814","-111.228","GNIS","Accurate","Canyon Diablo","15020015","2001","","","established","","Literature","","","Freshwater","21031","Other","2001","DeLorme.","Arizona Atlas and Gazetteer.","DeLorme, Yarmouth, Maine.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"167521","831","Fishes","Percidae","Sander vitreus","Walleye","United States of America","AZ","Coconino","Soldier Lake","34.7939","-111.233","GNIS","Accurate","Canyon Diablo","15020015","2001","","","established","","Literature","","","Freshwater","21031","Other","2001","DeLorme.","Arizona Atlas and Gazetteer.","DeLorme, Yarmouth, Maine.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"167419","831","Fishes","Percidae","Sander vitreus","Walleye","United States of America","AZ","Coconino","Long Lake","35.0033333333333","-111.350833333333","Map derived","Accurate","Canyon Diablo","15020015","2001","","","established","","Literature","","","Freshwater","21031","Other","2001","DeLorme.","Arizona Atlas and Gazetteer.","DeLorme, Yarmouth, Maine.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"167356","831","Fishes","Percidae","Sander vitreus","Walleye","United States of America","AZ","Coconino","Upper Lake Mary","35.1516666666667","-111.531111111111","GNIS","Accurate","Canyon Diablo","15020015","2001","","","established","","Literature","","","Freshwater","21031","Other","2001","DeLorme.","Arizona Atlas and Gazetteer.","DeLorme, Yarmouth, Maine.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"167407","831","Fishes","Percidae","Sander vitreus","Walleye","United States of America","AZ","Coconino","Lake Powell -- Wahweap","36.9967","-111.49","GNIS","Accurate","Lower Lake Powell","14070006","2001","","","established","","Literature","","","Freshwater","21031","Other","2001","DeLorme.","Arizona Atlas and Gazetteer.","DeLorme, Yarmouth, Maine.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"166990","831","Fishes","Percidae","Sander vitreus","Walleye","United States of America","AZ","Coconino","Glen Canyon National Recreation Area","36.9147","-111.456","GNIS","Accurate","Lower Lake Powell","14070006","2001","6","","collected","","Literature","","","Freshwater","15545","Web Page","2001","Field & Stream Online.","Field & Stream Online - Destinations - Arizona.","Field & Stream Online.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"27958","831","Fishes","Percidae","Sander vitreus","Walleye","United States of America","AZ","Coconino","Lake Powell (lower end)","36.960317","-111.48857","Map derived","Accurate","Lower Lake Powell","14070006","1982","","","established","","Literature","","","Freshwater","1578","Book Chapter","1982","Tyus, H.M., B.D. Burdick, R.A. Valdez, C.M. Haynes, T.A. Lytle, and C.R. Berry.","Fishes of the upper Colorado basin: distribution, abundance, and status.","Western Division, American Fisheries Society.","Bethesda, MD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"27822","831","Fishes","Percidae","Sander vitreus","Walleye","United States of America","AZ","Coconino","Lake Powell","36.997069","-111.41166","Map derived","Accurate","Lower Lake Powell","14070006","1996","","","established","","Literature","","","Freshwater","1947","Other","1996","DeLorme.","Arizona Atlas and Gazetteer.","DeLorme, Freeport, Maine.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"27864","831","Fishes","Percidae","Sander vitreus","Walleye","United States of America","AZ","Coconino","Long Lake near Flagstaff","34.8266666","-111.20055","Map derived","Accurate","Canyon Diablo","15020015","1996","","","established","","Literature","","","Freshwater","1947","Other","1996","DeLorme.","Arizona Atlas and Gazetteer.","DeLorme, Freeport, Maine.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"27869","831","Fishes","Percidae","Sander vitreus","Walleye","United States of America","AZ","Coconino","Soldier Lake and Soldier Annex Lake","34.786175","-111.2309","Map derived","Accurate","Canyon Diablo","15020015","1996","","","established","","Literature","","","Freshwater","1947","Other","1996","DeLorme.","Arizona Atlas and Gazetteer.","DeLorme, Freeport, Maine.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"27807","831","Fishes","Percidae","Sander vitreus","Walleye","United States of America","AZ","Coconino","Lake Mary, southeast of Flagstaff (upper and lower lakes)","35.1125","-111.5832","Map derived","Accurate","Canyon Diablo","15020015","1996","","","established","","Literature","","","Freshwater","1947","Other","1996","DeLorme.","Arizona Atlas and Gazetteer.","DeLorme, Freeport, Maine.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"27560","831","Fishes","Percidae","Sander vitreus","Walleye","United States of America","AZ","Coconino","Lake Powell","36.956888","-111.39724","Map derived","Accurate","Lower Lake Powell","14070006","1973","","","established","","Literature","","","Freshwater","109","Book","1973","Minckley, W.L.","Fishes of Arizona.","Arizona Fish and Game Department","Phoenix, AZ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"27731","831","Fishes","Percidae","Sander vitreus","Walleye","United States of America","AZ","Maricopa","Salt River, at Apache Lake","33.5908","-111.343","GNIS","Accurate","Lower Salt","15060106","1996","","","established","","Literature","","","Freshwater","1947","Other","1996","DeLorme.","Arizona Atlas and Gazetteer.","DeLorme, Freeport, Maine.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"27742","831","Fishes","Percidae","Sander vitreus","Walleye","United States of America","AZ","Maricopa","canals in the Phoenix area","33.5233333333333","-112.073333333333","Map derived","Accurate","Lower Salt","15060106","1996","","","established","","Literature","","","Freshwater","1947","Other","1996","DeLorme.","Arizona Atlas and Gazetteer.","DeLorme, Freeport, Maine.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"324207","831","Fishes","Percidae","Sander vitreus","Walleye","United States of America","AZ","Maricopa","South Canal above barrier","33.50699","-111.70569","GNIS","Approximate","Lower Salt","15060106","1996","","","established","","Literature","","","Freshwater","25740","Report","1998","Clarkson, R.W.","Results of fish monitoring of selected waters of the Gila River Basin, 1995-1996","U.S. Fish and Wildlife Service Arizona Ecological Services","Phoenix, Arizon","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"324192","831","Fishes","Percidae","Sander vitreus","Walleye","United States of America","AZ","Maricopa","Salt River, Stewart Mountain Dam","33.56668","-111.53576","GNIS","Approximate","Lower Salt","15060106","1996","","","established","","Literature","","","Freshwater","25740","Report","1998","Clarkson, R.W.","Results of fish monitoring of selected waters of the Gila River Basin, 1995-1996","U.S. Fish and Wildlife Service Arizona Ecological Services","Phoenix, Arizon","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"324205","831","Fishes","Percidae","Sander vitreus","Walleye","United States of America","AZ","Maricopa","Arizona Canal above barrier","33.49088","-111.95265","GNIS","Approximate","Lower Salt","15060106","1996","","","established","","Literature","","","Freshwater","25740","Report","1998","Clarkson, R.W.","Results of fish monitoring of selected waters of the Gila River Basin, 1995-1996","U.S. Fish and Wildlife Service Arizona Ecological Services","Phoenix, Arizon","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"324200","831","Fishes","Percidae","Sander vitreus","Walleye","United States of America","AZ","Maricopa","South Canal","33.48893","-111.72625","GNIS","Approximate","Lower Salt","15060106","1996","","","established","","Literature","","","Freshwater","25740","Report","1998","Clarkson, R.W.","Results of fish monitoring of selected waters of the Gila River Basin, 1995-1996","U.S. Fish and Wildlife Service Arizona Ecological Services","Phoenix, Arizon","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"27812","831","Fishes","Percidae","Sander vitreus","Walleye","United States of America","AZ","Maricopa","Salt River, at Saguaro Lake","33.5656","-111.536","GNIS","Accurate","Lower Salt","15060106","1996","","","established","","Literature","","","Freshwater","1947","Other","1996","DeLorme.","Arizona Atlas and Gazetteer.","DeLorme, Freeport, Maine.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"27831","831","Fishes","Percidae","Sander vitreus","Walleye","United States of America","AZ","Maricopa","Salt River below Saguaro Lake","33.553555","-111.54393","Map derived","Accurate","Lower Salt","15060106","1996","","","established","","Literature","","","Freshwater","1947","Other","1996","DeLorme.","Arizona Atlas and Gazetteer.","DeLorme, Freeport, Maine.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"27748","831","Fishes","Percidae","Sander vitreus","Walleye","United States of America","AZ","Maricopa","Canyon Lake on the Salt River","33.5536","-111.442","GNIS","Accurate","Lower Salt","15060106","1996","","","established","","Literature","","","Freshwater","1947","Other","1996","DeLorme.","Arizona Atlas and Gazetteer.","DeLorme, Freeport, Maine.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"295472","831","Fishes","Percidae","Sander vitreus","Walleye","United States of America","AZ","Maricopa","Salt River Project South Canal above Tempe and Consolidated canals","33.44362","-111.81537","Map derived","Approximate","Lower Salt","15060106","2000","","","established","Recent (1995-2006) species records","Literature","","","Freshwater","25706","Web Page","2009","Bureau of Reclamation.","Native Aquatic Species of the Gila River Basin in Arizona and New Mexico - Results of Fish Monitoring on Selected Waters of the Gila River Basin.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"302600","831","Fishes","Percidae","Sander vitreus","Walleye","United States of America","AZ","Maricopa","Salt River, Blue Point","33.55663","-111.57526","Map derived","Approximate","Lower Salt","15060106","1995","","","established","","Literature","","","Freshwater","25740","Report","1998","Clarkson, R.W.","Results of fish monitoring of selected waters of the Gila River Basin, 1995-1996","U.S. Fish and Wildlife Service Arizona Ecological Services","Phoenix, Arizon","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"302599","831","Fishes","Percidae","Sander vitreus","Walleye","United States of America","AZ","Maricopa","Salt River, Stewart Mountain Dam","33.56668","-111.53576","GNIS","Approximate","Lower Salt","15060106","1995","","","established","","Literature","","","Freshwater","25740","Report","1998","Clarkson, R.W.","Results of fish monitoring of selected waters of the Gila River Basin, 1995-1996","U.S. Fish and Wildlife Service Arizona Ecological Services","Phoenix, Arizon","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"302610","831","Fishes","Percidae","Sander vitreus","Walleye","United States of America","AZ","Maricopa","South Canal above barrier","33.50699","-111.70569","GNIS","Approximate","Lower Salt","15060106","1995","","","established","","Literature","","","Freshwater","25740","Report","1998","Clarkson, R.W.","Results of fish monitoring of selected waters of the Gila River Basin, 1995-1996","U.S. Fish and Wildlife Service Arizona Ecological Services","Phoenix, Arizon","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"167094","831","Fishes","Percidae","Sander vitreus","Walleye","United States of America","AZ","Maricopa","Apache Lake","33.5908","-111.344","GNIS","Accurate","Lower Salt","15060106","2001","","","established","","Literature","","","Freshwater","21031","Other","2001","DeLorme.","Arizona Atlas and Gazetteer.","DeLorme, Yarmouth, Maine.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"167135","831","Fishes","Percidae","Sander vitreus","Walleye","United States of America","AZ","Maricopa","Canyon Lake","33.5536","-111.443","GNIS","Accurate","Lower Salt","15060106","2001","","","established","","Literature","","","Freshwater","21031","Other","2001","DeLorme.","Arizona Atlas and Gazetteer.","DeLorme, Yarmouth, Maine.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"295453","831","Fishes","Percidae","Sander vitreus","Walleye","United States of America","AZ","Maricopa","Salt River between Stewart Mtn. Dam and Granite Reef Diversion Dam","33.56668","-111.53576","GNIS","Approximate","Lower Salt","15060106","2000","","","established","Recent (1995-2006) species records","Literature","","","Freshwater","25706","Web Page","2009","Bureau of Reclamation.","Native Aquatic Species of the Gila River Basin in Arizona and New Mexico - Results of Fish Monitoring on Selected Waters of the Gila River Basin.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"167483","831","Fishes","Percidae","Sander vitreus","Walleye","United States of America","AZ","Maricopa","Saguaro Lake","33.5656","-111.537","GNIS","Accurate","Lower Salt","15060106","2001","","","established","","Literature","","","Freshwater","21031","Other","2001","DeLorme.","Arizona Atlas and Gazetteer.","DeLorme, Yarmouth, Maine.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
